dow,meal,host,manager,server,rain,dishwasher_down,low_inventory,predicted_server_sales
6,Dinner,David,Sarah,Isabella,1,0,0,885.0
6,Dinner,David,Sarah,Ethan,1,0,0,881.95
6,Dinner,David,Sarah,Emma,1,0,0,864.9
6,Dinner,David,Sarah,Sophia,1,0,0,836.75
6,Dinner,David,Sarah,Liam,1,0,0,836.75
6,Dinner,David,Sarah,Mia,1,0,0,836.75
6,Dinner,David,Sarah,James,1,0,0,836.75
6,Dinner,David,Sarah,Mason,1,0,0,836.75
6,Dinner,David,Sarah,Olivia,1,0,0,836.75
6,Dinner,David,Sarah,Noah,1,0,0,825.2
6,Dinner,David,Sarah,Lucas,1,0,0,818.75
6,Dinner,David,Sarah,Ella,1,0,0,817.9
6,Dinner,Alice,Sarah,Isabella,1,0,0,745.5
6,Dinner,Alice,Sarah,Ethan,1,0,0,743.7
6,Dinner,Alice,Sarah,Emma,1,0,0,731.15
6,Dinner,Alice,Sarah,Olivia,1,0,0,726.95
6,Dinner,David,John,Ethan,1,0,0,718.6
6,Dinner,Alice,Sarah,Sophia,1,0,0,711.45
6,Dinner,Alice,Sarah,Mia,1,0,0,711.45
6,Dinner,Alice,Sarah,Mason,1,0,0,710.95
6,Dinner,Alice,Sarah,James,1,0,0,710.9
6,Dinner,David,John,Isabella,1,0,0,707.7
6,Dinner,Alice,Sarah,Liam,1,0,0,706.2
6,Dinner,David,John,Olivia,1,0,0,702.95
6,Dinner,Alice,Sarah,Noah,1,0,0,700.95
6,Dinner,Alice,Sarah,Lucas,1,0,0,699.9
6,Dinner,David,John,Emma,1,0,0,697.05
6,Dinner,Alice,Sarah,Ella,1,0,0,695.35
6,Dinner,David,John,Mason,1,0,0,681.45
6,Dinner,David,John,Sophia,1,0,0,680.0
6,Dinner,David,John,Mia,1,0,0,680.0
6,Dinner,David,John,James,1,0,0,679.45
6,Dinner,David,John,Liam,1,0,0,674.55
6,Dinner,David,John,Noah,1,0,0,668.75
6,Dinner,David,John,Lucas,1,0,0,665.9
6,Dinner,David,John,Ella,1,0,0,661.05
6,Dinner,Alice,John,Olivia,1,0,0,593.15
6,Dinner,Alice,John,Ethan,1,0,0,580.35
6,Dinner,Alice,John,Isabella,1,0,0,568.2
6,Dinner,Alice,John,Emma,1,0,0,563.3
6,Dinner,Alice,John,Mason,1,0,0,555.65
6,Dinner,Alice,John,Sophia,1,0,0,554.7
6,Dinner,Alice,John,Mia,1,0,0,554.7
6,Dinner,Alice,John,James,1,0,0,553.6
6,Dinner,Alice,John,Lucas,1,0,0,547.05
6,Dinner,Alice,John,Noah,1,0,0,544.5
6,Dinner,Alice,John,Liam,1,0,0,544.0
6,Dinner,Alice,John,Ella,1,0,0,538.5
